electrode_number,E_EEG,E_Brain,a,b,c,position_marker,position,label,name
38,E38,PT4,166.09099388345214,169.0090875651587,178.79632759568847,Y,"[166.09099388345214, 169.0090875651587, 178.79632759568847]",301,L. Temporal Lobe
39,E39,PT5,157.90824318345216,171.6177530251587,183.93855476568848,Y,"[157.90824318345216, 171.6177530251587, 183.93855476568848]",301,L. Temporal Lobe
40,E40,PT6,152.69032097345215,175.1011362051587,190.6353549956885,Y,"[152.69032097345215, 175.1011362051587, 190.6353549956885]",301,L. Temporal Lobe
41,E41,PT7,147.53724861345216,178.86236667515868,198.91904640568848,Y,"[147.53724861345216, 178.86236667515868, 198.91904640568848]",301,L. Temporal Lobe
42,E42,PT8,146.19642448345215,183.5756692851587,206.01633644568847,Y,"[146.19642448345215, 183.5756692851587, 206.01633644568847]",301,L. Temporal Lobe
43,E43,PT9,140.50436210345214,184.15310764515868,212.31966590568848,Y,"[140.50436210345214, 184.15310764515868, 212.31966590568848]",301,L. Temporal Lobe
44,E44,PT10,137.97283744345214,185.8623285251587,220.18856235568848,Y,"[137.97283744345214, 185.8623285251587, 220.18856235568848]",301,L. Temporal Lobe
45,E45,LO1,218.72234921345216,153.5436143851587,201.78286170568848,Y,"[218.72234921345216, 153.5436143851587, 201.78286170568848]",300,R. Temporal Lobe
46,E46,LO2,209.06000331345214,152.00675296515868,205.00037574568847,Y,"[209.06000331345214, 152.00675296515868, 205.00037574568847]",400,R. Occipital Lobe
47,E47,LO3,202.28378871345217,153.12640857515868,209.68798255568848,Y,"[202.28378871345217, 153.12640857515868, 209.68798255568848]",400,R. Occipital Lobe
48,E48,LO4,176.05979728345216,139.8747072251587,210.26520728568846,Y,"[176.05979728345216, 139.8747072251587, 210.26520728568846]",400,R. Occipital Lobe
49,E49,LO5,170.69425010345213,141.1718606951587,215.66762733568848,Y,"[170.69425010345213, 141.1718606951587, 215.66762733568848]",401,L. Occipital Lobe
50,E50,LO6,165.08289146345214,143.2652940751587,220.61622045568848,Y,"[165.08289146345214, 143.2652940751587, 220.61622045568848]",401,L. Occipital Lobe
51,E51,LO7,159.45719719345215,146.3253908151587,224.47437475568847,Y,"[159.45719719345215, 146.3253908151587, 224.47437475568847]",401,L. Occipital Lobe
52,E52,LO8,154.71984291345214,150.7786340751587,229.24542425568848,Y,"[154.71984291345214, 150.7786340751587, 229.24542425568848]",401,L. Occipital Lobe
53,E53,LO9,148.26193046345213,156.41824054515868,233.49936865568847,Y,"[148.26193046345213, 156.41824054515868, 233.49936865568847]",401,L. Occipital Lobe
54,E54,LO10,145.81460380345214,163.4890298851587,236.72934155568848,Y,"[145.81460380345214, 163.4890298851587, 236.72934155568848]",301,L. Temporal Lobe
55,E55,F1,164.37342643345215,293.08708287515867,255.23433875568847,Y,"[164.37342643345215, 293.08708287515867, 255.23433875568847]",101,L. Frontal Lobe
56,E56,F2,159.82972526345213,289.1345529751587,262.1558933556885,Y,"[159.82972526345213, 289.1345529751587, 262.1558933556885]",101,L. Frontal Lobe
57,E57,F3,157.81694984345216,283.8719339751587,268.5899600556885,Y,"[157.81694984345216, 283.8719339751587, 268.5899600556885]",101,L. Frontal Lobe
58,E58,F4,157.63321876345213,279.8139657751587,275.0231723556885,Y,"[157.63321876345213, 279.8139657751587, 275.0231723556885]",101,L. Frontal Lobe
59,E59,F5,159.20059776345215,273.5320596751587,280.3150272556885,Y,"[159.20059776345215, 273.5320596751587, 280.3150272556885]",101,L. Frontal Lobe
60,E60,F6,156.29668998345215,288.4265146751587,251.07210735568847,Y,"[156.29668998345215, 288.4265146751587, 251.07210735568847]",101,L. Frontal Lobe
61,E61,F7,153.30944633345214,284.67608737515866,257.4761753556885,Y,"[153.30944633345214, 284.67608737515866, 257.4761753556885]",101,L. Frontal Lobe
62,E62,F8,150.62834739345215,279.62498567515865,264.97635845568846,Y,"[150.62834739345215, 279.62498567515865, 264.97635845568846]",101,L. Frontal Lobe
