electrode_number,E_EEG,E_Brain,position,position_marker,x,y,z,newX,newY,newZ,newPosition
66,E66,FP26,"[59.6308479309082,175.063735961914,149.986358642578]",Y,142.332489,161.6871643,147.9606018,147.2480011,162.6329956,147.6009979,"[147.2480011, 162.6329956, 147.6009979]"
67,E67,FP27,"[59.4471168518066,171.005767822266,156.419570922852]",Y,144.7857056,151.3566589,150.4164734,150.8910065,152.9409943,152.048996,"[150.8910065, 152.9409943, 152.048996]"
68,E68,FP28,"[61.0144958496094,164.723861694336,161.711425781250]",Y,147.6593475,142.1784515,152.8428955,149.654007,142.7079926,152.904007,"[149.654007, 142.7079926, 152.904007]"
69,E69,FP29,"[58.1105880737305,179.618316650391,132.468505859375]",Y,148.4033661,133.2750244,154.7293701,152.173996,131.003006,157.151001,"[152.173996, 131.003006, 157.151001]"
70,E70,FP30,"[55.1233444213867,175.867889404297,138.872573852539]",Y,151.385025,123.8324738,157.8916168,151.7799988,123.7529984,158.2429962,"[151.7799988, 123.7529984, 158.2429962]"
72,E72,FP32,"[52.4422454833984,170.816787719727,146.372756958008]",Y,158.2729492,102.5439606,160.4572296,156.5449982,102.3290024,159.7810059,"[156.5449982, 102.3290024, 159.7810059]"
73,E73,FP33,"[51.2840003967285,165.791900634766,152.214431762695]",Y,132.5179901,168.3668823,150.2320557,137.5279999,173.6159973,155.6840057,"[137.5279999, 173.6159973, 155.6840057]"
74,E74,FP34,"[53.5282630920410,158.832977294922,158.217285156250]",Y,137.3938599,159.8486633,153.8287048,143.0890045,162.6399994,158.6560059,"[143.0890045, 162.6399994, 158.6560059]"
75,E75,FP35,"[50.0077667236328,49.1717643737793,136.373397827148]",Y,139.1777344,150.9237671,155.8538513,144.1439972,151.8390045,162.9219971,"[144.1439972, 151.8390045, 162.9219971]"
76,E76,FP36,"[45.5819282531738,57.9910469055176,140.449676513672]",Y,142.1605072,142.3353271,158.8602448,148.2059937,142.6670074,160.7960052,"[148.2059937, 142.6670074, 160.7960052]"
77,E77,FP37,"[38.3934211730957,68.1059570312500,146.160766601563]",Y,143.3843384,133.1112671,160.5240784,147.1609955,134.2330017,165.076004,"[147.1609955, 134.2330017, 165.076004]"
78,E78,FP38,"[34.9102096557617,78.0227203369141,149.740722656250]",Y,147.3408356,121.5656281,163.3753967,150.5050049,122.2490005,165.6860046,"[150.5050049, 122.2490005, 165.6860046]"
79,E79,FP39,"[37.7413635253906,88.4296035766602,152.310424804688]",Y,152.2975464,110.4392776,165.7967682,151.3110046,110.5469971,164.7810059,"[151.3110046, 110.5469971, 164.7810059]"
80,E80,FP40,"[38.6186561584473,99.3853912353516,155.834304809570]",Y,154.0099487,99.63548279,164.8227692,153.977005,99.99990082,164.8159943,"[153.977005, 99.99990082, 164.8159943]"
81,E81,FP41,"[42.5676803588867,109.018005371094,158.235290527344]",Y,127.2914886,165.8056641,155.8171997,131.3990021,172.6230011,161.6049957,"[131.3990021, 172.6230011, 161.6049957]"
82,E82,FP42,"[44.2072219848633,119.040908813477,160.330322265625]",Y,131.8813171,157.1601257,159.2937164,138.1589966,161.0829926,165.0639954,"[138.1589966, 161.0829926, 165.0639954]"
